author,title,year,genre
macdonald,egg_and_i,1945,biog
burgess,clockwork_orange,1962,neolog
greene,end_of_time,2020,science
hemingway,bell_tolls,1940,novel
kapucinski,shadow_sun,1998,history
kent,dark_stuff,1994,biog
rice,interview,1976,fantasy
riordan,ship_dead,2017,fantasy
wodehouse,wooster_code,1938,novel
tolstoy,war,1904,novel
himes,rage_harlem,1957,novel
gibson,neuromancer,1984,scifi
mccourt,ashes,1996,colloq
heller,catch22,1961,novel
conan-doyle,adventures,1892,novel
norwich,middlesea,2006,history
rowling,phoenix,2003,fantasy
tolkien,hobbit,1937,fantasy
